idx,epoch_s,ok,event_seq,event_ts,degraded,bp_overflow,bp_throttle_trans,slo_seq,slo_state,http_code
1,1772493431,true,115,1100211750,false,1,2,0,normal,200
2,1772493432,true,118,1101279926,false,1,2,0,normal,200
3,1772493434,true,121,1102362697,false,1,2,0,normal,200
4,1772493435,true,124,1103776402,false,1,2,0,normal,200
5,1772493436,true,125,1105125841,false,1,2,0,normal,200
6,1772493438,true,128,1106408836,false,1,2,0,normal,200
7,1772493439,true,132,1107585832,false,1,2,0,normal,200
8,1772493440,true,134,1108824865,false,1,2,0,normal,200
9,1772493441,true,138,1109877980,false,1,2,0,normal,200
10,1772493442,true,141,1110966131,false,1,2,0,normal,200
11,1772493443,true,144,1112196304,false,1,2,0,normal,200
12,1772493445,true,148,1113425052,false,1,2,0,normal,200
13,1772493446,true,150,1114652029,false,1,2,0,normal,200
14,1772493447,true,153,1115696252,false,1,2,0,normal,200
15,1772493448,true,156,1116798935,false,1,2,0,normal,200
16,1772493449,true,159,1118035088,false,1,2,0,normal,200
17,1772493450,true,162,1119176944,false,2,4,0,normal,200
18,1772493451,true,164,1120279181,false,2,4,0,normal,200
19,1772493453,true,169,1121672600,false,2,4,0,normal,200
20,1772493454,true,172,1122746877,false,2,4,0,normal,200
21,1772493455,true,174,1124021982,false,2,4,0,normal,200
22,1772493457,true,176,1125484904,false,2,4,0,normal,200
23,1772493459,true,179,1127340664,false,2,4,0,normal,200
24,1772493460,true,184,1128987869,false,2,4,0,normal,200
25,1772493461,true,185,1130119025,false,2,4,0,normal,200
26,1772493463,true,189,1131485370,false,2,4,0,normal,200
27,1772493464,true,192,1132574169,false,3,6,1,breach,200
28,1772493466,true,195,1133983943,false,3,6,1,breach,200
29,1772493467,true,198,1135493018,false,3,6,1,breach,200
30,1772493468,true,201,1136570347,true,4,7,1,breach,200
31,1772493469,true,204,1137995501,false,4,8,1,breach,200
32,1772493471,true,208,1139486119,false,4,8,1,breach,200
33,1772493472,true,209,1140671316,false,4,8,1,breach,200
34,1772493473,true,213,1141984455,false,4,8,1,breach,200
35,1772493474,true,217,1143128306,false,4,8,1,breach,200
36,1772493476,true,220,1144505160,false,4,8,1,breach,200
37,1772493477,true,223,1145580220,false,4,8,1,breach,200
38,1772493478,true,224,1146860176,false,4,8,1,breach,200
39,1772493480,true,227,1148321583,false,4,8,1,breach,200
40,1772493481,true,231,1149573793,false,4,8,1,breach,200
41,1772493482,true,234,1150852409,false,4,8,1,breach,200
42,1772493484,true,236,1152327244,false,4,8,1,breach,200
43,1772493486,true,242,1154171548,false,4,8,1,breach,200
44,1772493487,true,245,1155420550,false,4,8,1,breach,200
45,1772493488,true,249,1156693548,false,4,8,2,breach,200
46,1772493489,true,255,1157839300,false,4,8,2,breach,200
47,1772493491,true,258,1159393738,false,4,8,2,breach,200
48,1772493492,true,262,1160938995,false,4,8,2,breach,200
49,1772493493,true,267,1162272803,false,4,8,2,breach,200
50,1772493495,true,269,1163347424,false,4,8,2,breach,200
51,1772493496,true,274,1164422243,false,4,8,2,breach,200
52,1772493497,true,277,1165663200,false,4,8,2,breach,200
53,1772493499,true,283,1167166297,false,4,8,2,breach,200
54,1772493500,true,287,1169027505,false,4,8,2,breach,200
55,1772493501,true,290,1170174245,false,4,8,2,breach,200
56,1772493503,true,293,1171520574,false,4,8,2,breach,200
57,1772493504,true,299,1172676782,false,5,10,2,breach,200
58,1772493505,true,302,1174165948,false,5,10,2,breach,200
59,1772493507,true,305,1175776928,false,5,10,2,breach,200
60,1772493509,true,311,1177330790,true,6,11,2,breach,200
61,1772493510,true,315,1178558675,false,6,12,2,breach,200
62,1772493511,true,318,1179731931,false,6,12,2,breach,200
63,1772493512,true,322,1180807404,false,6,12,2,breach,200
64,1772493513,true,325,1182032871,false,6,12,2,breach,200
65,1772493514,true,330,1183238962,false,6,12,2,breach,200
66,1772493516,true,334,1184496534,false,6,12,3,normal,200
67,1772493517,true,339,1185728540,false,6,12,4,breach,200
68,1772493518,true,342,1186952202,false,6,12,4,breach,200
69,1772493519,true,347,1188195833,false,6,12,4,breach,200
70,1772493521,true,352,1189467805,false,6,12,4,breach,200
71,1772493522,true,357,1190643710,false,7,14,4,breach,200
72,1772493523,true,362,1191887923,false,7,14,4,breach,200
73,1772493524,true,364,1192978493,false,7,14,4,breach,200
74,1772493525,true,371,1194025470,false,7,14,4,breach,200
75,1772493527,true,373,1195468791,false,7,14,5,recovered,200
76,1772493528,true,381,1196782731,false,7,14,5,normal,200
77,1772493529,true,384,1198012002,false,7,14,5,normal,200
78,1772493530,true,389,1199237673,false,7,14,5,normal,200
79,1772493532,true,393,1200464900,false,7,14,5,normal,200
80,1772493533,true,399,1201695882,false,7,14,5,normal,200
81,1772493534,true,404,1202764468,false,7,14,5,normal,200
82,1772493535,true,406,1203948371,false,7,14,5,normal,200
83,1772493536,true,411,1205179623,false,7,14,5,normal,200
84,1772493537,true,416,1206270871,false,7,14,5,normal,200
85,1772493539,true,419,1207335906,false,7,14,5,normal,200
86,1772493540,true,425,1208556331,false,7,14,6,breach,200
87,1772493541,true,427,1209771784,false,7,14,6,breach,200
88,1772493542,true,433,1211015290,false,7,14,6,breach,200
89,1772493543,true,435,1212240758,false,7,14,6,breach,200
90,1772493545,true,441,1213475750,false,7,14,6,breach,200
